GAME_DATE,HOME_TEAM,AWAY_TEAM,LOCATION,GAME_TIME
2024-09-15,Indiana Fever,Dallas Wings,"Gainbridge Fieldhouse Indianapolis, IN",4:00PM GMT-3
2024-09-15,New York Liberty,Minnesota Lynx,"Barclays Center Brooklyn, NY",4:00PM GMT-3
2024-09-15,Washington Mystics,Atlanta Dream,"Entertainment and Sports Arena Washington, DC",4:00PM GMT-3
2024-09-15,Chicago Sky,Phoenix Mercury,"Wintrust Arena Chicago, IL",7:00PM GMT-3
2024-09-15,Las Vegas Aces,Connecticut Sun,"Michelob ULTRA Arena Las Vegas, NV",7:00PM GMT-3
2024-09-15,Seattle Storm,Los Angeles Sparks,"Climate Pledge Arena Seattle, WA",7:00PM GMT-3
2024-09-17,Connecticut Sun,Minnesota Lynx,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-09-17,Washington Mystics,New York Liberty,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-09-17,Atlanta Dream,Chicago Sky,"Gateway Center Arena @ College Park Atlanta, GA",8:30PM GMT-3
2024-09-17,Los Angeles Sparks,Phoenix Mercury,"Crypto.com Arena Los Angeles, CA",11:00PM GMT-3
2024-09-17,Seattle Storm,Las Vegas Aces,"Climate Pledge Arena Seattle, WA",11:00PM GMT-3
2024-09-19,Connecticut Sun,Chicago Sky,"Mohegan Sun Arena Uncasville, CT",8:00PM GMT-3
2024-09-19,New York Liberty,Atlanta Dream,"Barclays Center Brooklyn, NY",8:00PM GMT-3
2024-09-19,Washington Mystics,Indiana Fever,"Entertainment and Sports Arena Washington, DC",8:00PM GMT-3
2024-09-19,Minnesota Lynx,Los Angeles Sparks,"Target Center Minneapolis, MN",8:00PM GMT-3
2024-09-19,Las Vegas Aces,Dallas Wings,"Michelob ULTRA Arena Las Vegas, NV",10:00PM GMT-3
2024-09-19,Phoenix Mercury,Seattle Storm,"Footprint Center Phoenix, AZ",10:00PM GMT-3
