GAME_DATE,HOME_TEAM,AWAY_TEAM,LOCATION,GAME_TIME
2024-09-01,north carolina courage,kansas city current,WakeMed Soccer Park,2:00 PM ET
2024-09-01,angel city fc,chicago red stars,BMO Stadium,4:00 PM ET
2024-09-01,orlando pride,nj ny gotham fc,Inter&Co Stadium,6:00 PM ET
2024-09-01,san diego wave fc,washington spirit,Snapdragon Stadium,8:00 PM ET
2024-09-06,angel city fc,seattle reign,BMO Stadium,10:00 PM ET
2024-09-07,washington spirit,portland thorns fc,Audi Field,12:30 PM ET
2024-09-07,kansas city current,utah royals fc,CPKC Stadium,7:30 PM ET
2024-09-07,bay fc,racing louisville fc,PayPal Park,10:00 PM ET
2024-09-08,nj ny gotham fc,houston dash,Red Bull Arena,1:00 PM ET
2024-09-08,chicago red stars,orlando pride,SeatGeek Stadium,6:00 PM ET
2024-09-08,san diego wave fc,north carolina courage,Snapdragon Stadium,8:00 PM ET
2024-09-13,orlando pride,kansas city current,Inter&Co Stadium,7:00 PM ET
2024-09-13,north carolina courage,bay fc,WakeMed Soccer Park,8:00 PM ET
2024-09-13,portland thorns fc,chicago red stars,Providence Park,10:00 PM ET
2024-09-14,racing louisville fc,angel city fc,Lynn Family Stadium,7:30 PM ET
2024-09-14,utah royals fc,san diego wave fc,America First Field,10:00 PM ET
2024-09-15,washington spirit,houston dash,Audi Field,1:00 PM ET
2024-09-16,seattle reign,nj ny gotham fc,Lumen Field,10:00 PM ET
2024-09-20,kansas city current,washington spirit,CPKC Stadium,8:00 PM ET
2024-09-20,bay fc,orlando pride,PayPal Park,10:30 PM ET
2024-09-21,racing louisville fc,north carolina courage,Lynn Family Stadium,7:30 PM ET
2024-09-21,houston dash,seattle reign,Shell Energy Stadium,8:30 PM ET
2024-09-21,chicago red stars,san diego wave fc,SeatGeek Stadium,9:30 PM ET
2024-09-22,nj ny gotham fc,utah royals fc,Red Bull Arena,1:00 PM ET
2024-09-23,angel city fc,portland thorns fc,BMO Stadium,10:00 PM ET
2024-09-27,angel city fc,washington spirit,BMO Stadium,10:00 PM ET
2024-09-28,kansas city current,nj ny gotham fc,CPKC Stadium,1:00 PM ET
